Timestamp,Hypothesis or gap?,Paper ID,Text from paper,Gap group
6/10/2018 22:50,Gap,6,"Finally, much more needs to be done to understand how viruses overcome the innate immune response when crossing the species barrier.",Viral Adaptation-associated
6/11/2018 12:04,Gap,7, An interesting and open question is how the relative sizes and dynamics of the two host populations affect emergence probabilities.,Reservoir Hosts-associated
6/6/2018 11:36,Gap,8,future research would do well to investigate the influence of biodiversity on parasite spillover and host specialization,Reservoir Hosts-associated
6/6/2018 11:45,Gap,8,Are there traits of hosts that make them more likely to be impacted by an EID?,Biodiversity & Community-associated
6/6/2018 11:45,Gap,8,"What host traits, parasite traits and ecological circumstances are important for (co)evolution in EID systems?",Reservoir Hosts-associated
11/2/2018 14:28,Gap,8,"Less well studied, but equally important, is how hosts and parasites may evolve in response to changes in other interacting species owing to abiotic change. This will be a crucial area for future research.",Climate & Vectors-associated
11/2/2018 14:28,Gap,8,Which traits make it likely that a parasite will be able to evolve in a way that allows it to emerge?,Holistic approaches
11/2/2018 14:41,Gap,8,"Interestingly, there may be a link between resilience to human disturbances, susceptibility to disease and the ability to rapidly adapt to changing conditions. ‘Weedy’ host species that invest more resources into reproduction and growth are often better suited to colonize habitats disturbed by human activities. These species also may invest less into immunity and disease resistance, making them more susceptible to emerging diseases. However, weedy traits such as a fast generation time and high reproductive rate may also facilitate rapid evolutionary change in response to infectious diseases.",Viral Adaptation-associated
11/2/2018 14:43,Gap,13,"A priority for research therefore should be a holistic perspective on pathogen dynamics at the wildlife-livestock-human interface, based on an interdisciplinary approach to the examination of biological, ecological, economic, and social drivers of pathogen emergence. Investigations are required on the frequency and risks of pathogen flow between species, the mechanisms of amplification and persistence, the influence of different livestock production systems, and the socioeconomic context, to identify possible interventions to reduce pathogen emergence, as well as more effective strategies for responding to such events.",Holistic approaches
6/6/2018 14:45,Gap,15,"Few authors conduct studies with archaeological material of animal origin. This may represent a loss of information, since the parasite’s presence in the local fauna, associated with environmental and socio-cultural factors like diet and type of dwellings, may indicate transmission routes for the parasites to human populations.",Considering prehistoric conditions
6/6/2018 14:46,Gap,15,Additional studies on zoonotic infections from the past will expand the knowledge on biological and sociological aspects of the health-disease process and the co-evolution between parasites and animal and human hosts.,Considering prehistoric conditions
6/6/2018 14:51,Gap,15,"Geographic, biotic, and abiotic factors from the environment in which prehistoric populations lived (biocenosis) and their cultural characteristics can trace models for the predictability and transmission of the parasite fauna in these groups...These studies are especially applicable to zoonoses, since biocenosis in natural ecosystems is well defined",Considering prehistoric conditions
6/6/2018 16:03,Gap,16,A key frontier is assessing the relative importance of environmental drivers of zoonotic risk and human behaviours at both population and individual levels in determining disease transmission patterns,Climate & Vectors-associated
6/6/2018 16:04,Gap,16,A harmonised framework to analyse and compare the abiotic niches of pathogens.,Holistic approaches
6/6/2018 16:15,Gap,16,"Studies capturing the genetic variability of pathogens in the field according to host features (density, richness of species).",Holistic approaches
6/6/2018 16:17,Gap,16,Knowledge of the ‘genetic fingerprint’ of vectors and their ability to transmit a pathogen.,Holistic approaches
6/6/2018 16:17,Gap,16,Defining the immunological and genetic factors and molecular interactions at the host–vector–pathogen interface involved in pathogen transmission and infection.,Viral Adaptation-associated
11/2/2018 14:45,Gap,16,whether the likelihood of cross-species ‘jumps’ by pathogens increases with decreasing phylogenetic distance is an open question,Climate & Vectors-associated
11/2/2018 14:47,Gap,16,"Beyond spatial overlap, numerous factors enter the picture: human social structure, living conditions, economic status, and health status; local dispersal ranges of vector populations; habitat fragmentation; and disease aetiology all can promote, diminish, or modify transmission patterns of pathogens to humans and manifestation as human disease. These interactions of disease transmission cycles with scales of time and space are little studied, and yet we suspect drive much of the dynamics of disease emergence.",Climate & Vectors-associated
11/2/2018 14:48,Gap,16,"biotic interactions need to be considered in a holistic multispecies context, using, for example, analysis of whole interaction networks or multispecies hierarchical models. The current, more reductionist focus on individual components at local spatial scales and short temporal scales has not been adequate to generate a predictive understanding of disease emergence",Studying the pathosphere
11/2/2018 14:51,Gap,16,Studies on natural (regional) communities of hosts comparing species composition and rates of pathogen circulation,Biodiversity & Community-associated
11/2/2018 14:58,Gap,16,Linking the physiology of vectors to climate,Viral Adaptation-associated
6/6/2018 10:38,Gap,17,"Recognition of the need for pre-emptive studies on the effects of massive or smaller developmental projects on local animal fauna and local zoonotic reservoirs. This is an inadequately explored idea that was partly introduced by McSweegan many years ago, the so-called ‘infectious diseases impact statement’. Environmental studies are compulsory in such projects, but almost never extend to/always fail to predict an outcome that is typically associated with zoonotic (or infectious disease in general) emergence.",Land Conversion-associated
6/7/2018 13:48,Gap,22,How do different types of anthropogenic change interact with local conditions to generate each of these emerging threats?,Land Conversion-associated
11/2/2018 15:01,Gap,22,"there is ample evidence that disruptions of ecological systems alter disease transmission. Whether we would expect disruption to increase or decrease transmission is not obvious, and there are examples of both effects in the literature. The majority of reports show increases in disease transmission as a result of changing environmental conditions. Mechanisms for this apparent directionality are not well understood and are an area of active investigation.",Land Conversion-associated
6/8/2018 12:00,Gap,24,Incorporating human behaviour into infectious disease modelling has thus far remained an understudied area,Reservoir Hosts-associated
6/8/2018 14:12,Gap,27,"The definition of an emerging infectious disease (EID) identifies seven potential pathways by which a pathogen can emerge: (a) increasing in incidence (e.g., Lyme Disease), (b) increasing in impact (e.g., Tuberculosis), (c) increasing in geographic range (e.g., West Nile Virus), (d ) evolving into a new pathogen (e.g., new strains of Influenza virus), (e) entering the human population for the first time (e.g., Nipah Virus), ( f ) significantly changing pathology or clinical presentation (e.g., Hantavirus Pulmonary Syndrome), or ( g) because they are newly discovered (e.g., Hendra Virus)...Do pathogens emerge via one or many pathways? Do certain pathways dominate the emergence process?",Biodiversity & Community-associated
6/8/2018 14:14,Gap,27,"Do the pathways to emergence vary with pathogen taxonomy, host requirements, epidemiological characteristics, driving forces, and geography?",Holistic approaches
6/8/2018 15:03,Gap,27,"Individual drivers of pathogen emergence have been identified, but how do they act synergistically? Do certain combinations of drivers create worst case scenarios for pathogen emergence?",Holistic approaches
6/8/2018 15:04,Gap,27,How do the geographic distributions of nonemerging and emerging human pathogens vary in real time?,Holistic approaches
11/2/2018 15:09,Gap,27,"Conservation biology tells us that species are being lost at unprecedented rates, largely as a result of human impacts to the environment. Climate change, for example, is widely predicted to cause substantial regional and global species extinctions. Interestingly, the argument is reversed for infectious diseases, which appear to be accumulating in the human population in response to environmental change...Is the discrepancy between global species loss and human pathogen gain real, or are we simply focused on the negative?",Holistic approaches
6/18/2018 15:40,Gap,31,we typically have very little information on the genetic and functional diversity of human pathogens or their immediate ancestors in nonhuman reservoirs.,Studying the pathosphere
6/18/2018 15:47,Gap,31,"we still have very little idea of the diversity of pathogens to which humans are being or could be exposed. Systematic surveys across a range of possible sources of new pathogens (notably other mammal species) using techniques such as shotgun sequencing are possible in principle, and would provide this information.",Studying the pathosphere
6/21/2018 11:55,Gap,34,"How then do we predict the risk of disease emergence when the sources of potential EIDs are so diverse? One key predictor of emergence risk should be the hazard presented by the diversity of microparasites (e.g. viruses and bacteria) and macroparasites (e.g. helminths and protozoa) that can be pathogenic to humans. Yet, there are few to no data on the hazard presented by the broad diversity of potentially pathogenic organisms",Land Conversion-associated
6/21/2018 12:05,Gap,34,"Without a greater understanding of the limits on host jumping, and what makes some types of pathogens more or less likely to jump, it is difficult to predict how any given hazard may convert into a risk.",Land Conversion-associated
6/21/2018 12:32,Gap,34,"To reduce the risk of disease emergence using ecological knowledge, we need to understand how land-use change and other anthropogenic impacts, including biodiversity loss, relate to the risks and hazards of disease emergence.",Studying the pathosphere
6/21/2018 12:34,Gap,34,"Are particular areas or ecosystems more likely to have greater pathogen hazards, and thus be more likely to generate risk of disease emergence in response to human modification?",Land Conversion-associated
6/21/2018 12:34,Gap,34,Are certain anthropogenic impacts more likely to convert hazards into risks for humans and other species?,Land Conversion-associated
6/21/2018 12:35,Gap,34,"To limit risk, is it better to intensively change a small area in a concentrated way, or to distribute the impact more broadly?",Studying the pathosphere
6/21/2018 12:36,Gap,34,"we must continue to study the diversity of microbes and parasites, particularly potential pathogens, their vectors, hosts and nonhosts, and their inter- and intra-specific relationships",Land Conversion-associated
6/21/2018 12:39,Gap,34,we must understand how anthropogenic impacts alter ecological processes and convert microbial hazards in naturally occurring pathogen diversity into risks to the health of humans and other species,Land Conversion-associated
6/21/2018 12:40,Gap,34,"we recommend that disease ecology incorporate more diverse approaches that embrace the confounded nature of the drivers of disease spillover and biodiversity loss, including more applied approaches that focus on restoration of ecosystem function and mitigation of impacts",Viral Adaptation-associated
