PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Perez-Gracia, MT; Rodriguez-Iglesias, M",,,,"Perez-Gracia, MT; Rodriguez-Iglesias, M",,,Hepatitis E virus: current status,MEDICINA CLINICA,,,,,,,,,,,,"In areas with tropical or subtropical climate and poor sanitary conditions, hepatitis E is the major cause of enterically transmitted non-A, non-B hepatitis, and is responsible for both water-borne outbreaks and sporadic cases of acute hepatitis. The causative agent is the hepatitis E virus (HEV), a non-enveloped, single-stranded, positive-sense RNA molecule of an approximately 7.2 kb length. Recently, HEV strains have been isolated in swine in industrialized countries. In addition, cases of acute hepatitis due to novel HEV variants have been reported in humans without recognized risk factors for hepatitis E in Europe, Japan and the US. Some of the novel strains were found to be closely related to swine HEV isolates from the same area, suggesting that hepatitis E is a zoonotic disease. Thus hepatitis E is becoming a concern in countries where HEV is not, traditionally, believed to be endemic. This review summarizes the current knowledge of the biology, structure and transmission of the virus as well as the diagnosis of the infection. We also analyze the present status in areas with a low incidence of acute hepatitis E and the role of animals as potencial vectors of the virus.",,,,,,,,,,,,,,,,,,,,,,6-Dec,2003,121,20,,,,,787,792,,,,,,,,,,WOS:000187618800008,,,,,
J,"Hankenson, FC; Johnston, NA; Weigler, BJ; Di Giacomo, RF",,,,"Hankenson, FC; Johnston, NA; Weigler, BJ; Di Giacomo, RF",,,Zoonoses of occupational health importance in contemporary laboratory animal research,COMPARATIVE MEDICINE,,,,,,,,,,,,"In contemporary laboratory animal facilities, workplace exposure to zoonotic pathogens, agents transmitted to humans from vertebrate animals or their tissues, is an occupational hazard. The primary (e.g., macaques, pigs, dogs, rabbits, mice, and rats) and secondary species (e.g., sheep, goats, cats, ferrets, and pigeons) of animals commonly used in biomedical research, as classified by the American College of Laboratory Animal Medicine, are established or potential hosts for a large number of zoonotic agents. Diseases included in this review are principally those wherein a risk to biomedical facility personnel has been documented by published reports of human cases in laboratory animal research settings, or under reasonably similar circumstances. Diseases are listed alphabetically, and each section includes information about clinical disease, transmission, occurrence, and prevention in animal reservoir species and humans. Our goal is to provide a resource for veterinarians, health-care professionals, technical staff, and administrators that will assist in the design and on-going evaluation of institutional occupational health and safety programs.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,53,6,,,,,579,601,,,,,,,,,,WOS:000188057800002,,,,,
J,"Brown, RR; Elston, TH; Evans, L; Glaser, C; Gulledge, ML; Jarboe, L; Lappin, MR; Marcus, LC; Breitschwerdt, EB; Greene, CE; Morley, PS; Rosychuk, R; Schantz, P; Wolf, AM",,,,"Brown, RR; Elston, TH; Evans, L; Glaser, C; Gulledge, ML; Jarboe, L; Lappin, MR; Marcus, LC; Breitschwerdt, EB; Greene, CE; Morley, PS; Rosychuk, R; Schantz, P; Wolf, AM",,,American Association of Feline Practitioners 2003 report on Feline Zoonoses,COMPENDIUM ON CONTINUING EDUCATION FOR THE PRACTICING VETERINARIAN,,,,,,,,,,,,"Zoonotic diseases are defined as being common to, shared by, or naturally transmitted between humans and other vertebrate animals.(1) Transmission of zoonotic agents from animals to humans can potentially occur by direct contact with an animal indirect contact with secretions or excretions from an animal, and contact with vehicles such as water, food, or fomites that were contaminated by an animal. For many agents, infection of an animal or human occurs from a shared vector or environmental exposure.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,25,12,,,,,936,965,,,,,,,,,,WOS:000187633300007,,,,,
J,"Jacobson, RL",,,,"Jacobson, RL",,,Leishmania tropica (Kinetoplastida : Trypanosomatidae) - a perplexing parasite,FOLIA PARASITOLOGICA,,,,,,,,,,,,"Leishmania tropica is one of the causative agents of cutaneous leishmaniasis (CL), a disfiguring parasitic disease that recently was found to be viscerotropic. In urban areas it is transmitted from infected individuals by the bite of phlebotomine sand flies to naive persons (anthroponotic CL). In rural areas animals are thought to be the reservoir, but the full life cycle is still under investigation (zoonotic CL). For many years L. tropica was either confused or merely grouped with L. major while Phlebotomus sergenti was the only proven vector. In recent years new foci have erupted, but few have been investigated. This review describes some of the history, recent findings, epidemiology, potential vectors, and the search for possible reservoir hosts besides man.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,50,4,,,,,241,250,,10.14411/fp.2003.042,,,,,,,,WOS:000188645900001,,,,,
J,"Hsueh, PR; Yang, PC",,,,"Hsueh, PR; Yang, PC",,,Severe acute respiratory syndrome (SARS) anemerging infection of the 21st century,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,,,,,,,,,,,,"Severe acute respiratory syndrome (SARS) is an emerging infection caused by a novel coronavirus known as SARS-CoV. The disease has a high propensity to spread to household members and healthcare workers and may be associated with transmission and outbreaks in the community. Severe illness in immunocompromised patients, sophisticated hospital facilities and treatment procedures, particularly those that generate aerosols, and lack of adequate isolation and control measures, can amplify transmission and contribute to so-called super-spreading events. The presence of non-specific clinical manifestations at presentation and a lack of validated early diagnostic methods and effective management pose great difficulty for frontline physicians in the containment of this disease. The mortality of SARS is in the region of 10 to 15%; the presence of underlying disease, high initial C-reactive protein levels, and positive SARS-CoV in nasopharyngeal aspirate samples are associated with a higher risk of respiratory failure and mortality. Despite the disappearance of SARS cases worldwide, the potential evolution of SARS-CoV in animals suggests the disease may re-emerge in the future. Heightened levels of clinical suspicion, rapid case detection and isolation, and contact tracing are essential to effective management of future outbreaks. Further ongoing requirements for successful management include research on the immunopathogenesis of SARS and the development of timely and reliable diagnostic tests, effective antiviral and immunomodulatory agents and vaccines for the disease.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,102,12,,,,,825,839,,,,,,,,,,WOS:000221373300001,,,,,
J,"Bharti, AR; Nally, JE; Ricaldi, JN; Matthias, MA; Diaz, MM; Lovett, MA; Levett, PN; Gilman, RH; Willig, MR; Gotuzzo, E; Vinetz, JM",,,,"Bharti, AR; Nally, JE; Ricaldi, JN; Matthias, MA; Diaz, MM; Lovett, MA; Levett, PN; Gilman, RH; Willig, MR; Gotuzzo, E; Vinetz, JM",,Peru-United States Leptospirosis,Leptospirosis: a zoonotic disease of global importance,LANCET INFECTIOUS DISEASES,,,,,,,,,,,,"In the past decade, leptospirosis has emerged as a globally important infectious disease. It occurs in urban environments of industrialised and developing countries, as well as in rural regions worldwide. Mortality remains significant, related both to delays in diagnosis due to lack of infrastructure and adequate clinical suspicion, and to other poorly understood reasons that may include inherent pathogenicity of some leptospiral strains or genetically determined host immunopathological responses. Pulmonary haemorrhage is recognised increasingly as a major, often lethal, manifestation of leptospirosis, the pathogenesis of which remains unclear. The completion of the genome sequence of Leptospira interrogans serovar lai, and other continuing leptospiral genome sequencing projects, promise to guide future work on the disease. Mainstays of treatment are still tetracyclines and beta-lactam/cephalosporins. No vaccine is available. Prevention is largely dependent on sanitation measures that may be difficult to implement, especially in developing countries.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,3,12,,,,,757,771,,10.1016/S1473-3099(03)00830-2,,,,,,,,WOS:000186910800018,,,,,
J,"Rogers, DJ; Randolph, SE",,,,"Rogers, DJ; Randolph, SE",,,Studying the global distribution of infectious diseases using GIS and RS,NATURE REVIEWS MICROBIOLOGY,,,,,,,,,,,,"West Nile virus, severe acute respiratory syndrome and monkeypox are infectious diseases that have recently been introduced into areas far from their region of origin. The greatest risk of new diseases comes from zoonoses - pathogens that circulate among wild animals and are occasionally transferred to humans by intermediate invertebrate hosts or vectors that are sensitive to climatic conditions. Analytical tools that are based on geographical information systems and that can incorporate remotely sensed information about the environment offer the potential to define the limiting conditions for any disease in its native region for which there are at least some distribution data. The direction, intensity or likelihood of its spread to new regions could then be predicted, potentially allowing disease earty-warning systems to be developed.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,1,3,,,,,231,237,,10.1038/nrmicro776,,,,,,,,WOS:000220431600016,,,,,
J,"Squires, RA",,,,"Squires, RA",,,An update on aspects of viral gastrointestinal diseases of dogs and cats,NEW ZEALAND VETERINARY JOURNAL,,,,,,,,,,,,"Viruses commonly cause gastrointestinal illnesses in dogs and cats that range in severity from mild diarrhoea to malignant neoplasia. Perpetual evolution of viruses is reflected in changing disease patterns, so that familiar viruses are sometimes discovered to cause new or unexpected diseases. For example, canine parvovirus (CPV) has regained the ability to infect felids and cause a panleucopenia-like illness. Feline panleucopenia virus (FPV) has been shown to cause ""fading"" in young kittens and has recently been implicated as a possible cause of feline idiopathic cardiomyopathy. Molecular scrutiny of viral diseases sometimes permits deeper understanding of pathogenesis and epizootiology, Feline gastrointestinal lymphomas have not, in the past, been strongly associated with retroviral infections, yet some of these tumours harbour retroviral proviruses. Feline leukaemia virus (FeLV) may play a role in lymphomagenesis, even in cats diagnosed as uninfected using conventional criteria. There is strong evidence that feline immunodeficiency virus (FIV) can also be oncogenic. The variant feline coronaviruses that cause invariably-fatal feline infectious peritonitis (FIP) arise by sporadic mutation of an ubiquitous and only mildly pathogenic feline enteric coronavirus (FECV); a finding that has substantial management implications for cat breeders and veterinarians. Conversely, canine enteric coronavirus (CECV) shows considerable genetic and antigenic diversity but causes only mild, self-limiting diarrhoea in puppies. Routine vaccination against this virus is not recommended. Although parvoviruses, coronaviruses and retroviruses are the most important known viral causes of canine and feline gastrointestinal disease, other viruses play a role. Feline and canine rotaviruses have combined with human rotaviruses to produce new, reassortant, zoonotic viruses. Some companion animal rotaviruses can infect humans directly. Undoubtedly, further viral causes of canine and feline gastrointestinal disease await discovery.",,,,,,,,,,,,,,,,,,,,,,DEC,2003,51,6,,,,,252,261,,10.1080/00480169.2003.36379,,,,,,,,WOS:000187080500002,,,,,
J,"Webby, RJ; Webster, RG",,,,"Webby, RJ; Webster, RG",,,Are we ready for pandemic influenza?,SCIENCE,,,,,,,,,,,,"During the past year, the public has become keenly aware of the threat of emerging infectious diseases with the global spread of severe acute respiratory syndrome (SARS), the continuing threat of bioterrorism, the proliferation of West Nile virus, and the discovery of human cases of monkeypoxin the United States. At the same time, an old foe has again raised its head, reminding us that our worst nightmare may not be a new one. In 2003, highly pathogenic strains of avian influenza virus, including the H5N1 and H7N7 subtypes, again crossed from birds to humans and caused fatal disease. Direct avian-to-human influenza transmission was unknown before 1997. Have we responded to these threats by better preparing for emerging disease agents, or are we continuing to act only as crises arise? Here we consider progress to date in preparedness for an influenza pandemic and review what remains to be done. We conclude by prioritizing the remaining needs and exploring the reasons for our current lack of preparedness for an influenza pandemic.",,,,,,,,,,,,,,,,,,,,,,28-Nov,2003,302,5650,,,,,1519,1522,,10.1126/science.1090350,,,,,,,,WOS:000186802200029,,,,,
J,"Grabenstein, JD",,,,"Grabenstein, JD",,,Anthrax vaccine: a review,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,,,,,,,,,,,,"Anthrax is a zoonotic disease, primarily of ruminants, that is caused by Bacillus anthracis. The three most common forms of anthrax are cutaneous, inhalational, and gastrointestinal. Anthrax can be a deadly disease if treatment does not begin early in the course of infection. An effective vaccine has been available in the United States since 1970, although it was not used widely until 1998. Research is underway to change the current US-licensed vaccine's route of administration to intramuscular and to reduce the number of doses in the basic series.",,,,,,,,,,,,,,,,,,,,,,NOV,2003,23,4,,,,,713,+,,10.1016/S0889-8561(03)00093-6,,,,,,,,WOS:000187581000009,,,,,
