authors,title,year,journal,search,abstract
"R. Martin Roop II, Jason M. Gee, Gregory T. Robertson, John M. Richardson, Wai-Leung Ng, Malcolm E. Winkler",Brucella Stationary-Phase Gene Expression and Virulence,2003,Annual Review of Microbiology,Annual Reviews,"The capacity of the Brucella spp. to establish and maintain long-term residence in the phagosomal compartment of host macrophages is critical to their ability to produce chronic infections in their mammalian hosts. The RNA binding protein host factor I (HF-I) encoded by the hfq gene is required for the efficient translation of the stationary-phase ? factor RpoS in many bacteria, and a Brucella abortus hfq mutant displays a phenotype in vitro, which suggests that it has a generalized defect in stationary-phase physiology. The inability of the B. abortus hfq mutant to survive and replicate in a wild-type manner in cultured murine macrophages, and the profound attenuation displayed by this strain and its B. melitensis counterpart in experimentally infected animals indicate that stationary-phase physiology plays an essential role in the capacity of the brucellae to establish and maintain long-term intracellular residence in host macrophages. The nature of the Brucella HF-I-regulated genes that have been identified to date suggests that the corresponding gene products contribute to the remarkable capacity of the brucellae to resist the harsh environmental conditions they encounter during their prolonged residence in the phagosomal compartment."
"Douglas P. Jasmer, Aska Goverse, Geert Smant",PARASITIC NEMATODE INTERACTIONS WITH MAMMALS AND PLANTS,2003,Annual Review of Phytopathology,Annual Reviews,"Parasitic nematodes that infect humans, animals, and plants cause serious diseases that are deleterious to human health and agricultural productivity. Chemical and biological control methods have reduced the impact of these parasites. However, surviving environmental stages lead to persistent reinfection of host species. In addition, development of resistance to nematicides and anthelmintics by these parasites and reduced availability of some nematicides, for environmental protection, pose significant obstacles for current and future prospects of effective parasite control. Due to marked differences in host species, research on animal and plant parasitic nematodes often proceeds independently. Despite the differences between animals and plants, basic cellular properties are shared among these host organisms. Some common properties may be important for mechanisms [homologous or convergent (homoplastic)] by which nematodes successfully infect these diverse hosts or by which animal and plant hosts resist infections by these pathogens. Here we compare host/parasite interactions between plant parasitic nematodes (PPN) and animal parasitic nematodes, with an emphasis on mammalian hosts (MPN). Similarities and differences are considered in the context of progress on molecular dissection of these interactions. A comprehensive coverage is not possible in the space allotted. Instead, an illustrative approach is used to establish examples that, it is hoped, exemplify the value of the comparative approach."
Peggy C. Giordano,Relationships in Adolescence,2003,Annual Review of Sociology,Annual Reviews,"In this chapter I review recent research on the nature, meaning, and impact of extrafamilial relationships during adolescence. I use findings of quantitative and qualitative studies to develop the idea that close friendships, wider networks of peers, and romantic relationships have distinct meanings and significance for the developing adolescent. Sociologists' work inevitably focuses attention on the ways in which the adolescent's social addresses and locations (gender, race, social class) influence many aspects of these early relationships. The review also highlights some limitations of the dominant perspective on adolescent relationships, attachment theory, and provides suggestions for future research (particularly in the area of romantic relationships, where the literature is growing but still relatively undeveloped)."
Marc K. Hellerstein,IN VIVO MEASUREMENT OF FLUXES THROUGH METABOLIC PATHWAYS: The Missing Link in Functional Genomics and Pharmaceutical Research,2003,Annual Review of Nutrition,Annual Reviews,"In the postgenomic era of biology, much attention has been given to functional genomics, or the relation between genes and higher levels of organization in the cell. The latter are typically represented as mRNA, protein, or organic metabolite complements. The theme of this review is that the operational unit of function in complex biological systems is more properly seen as the fully assembled metabolic pathway in the whole organism. Due to the connectivity, interactions, and complexity of metabolic pathways, the measurement of components is an inadequate method for predicting phenotype. Measurement of the outputs of pathways (molecular fluxes) involves different tools than static measures of components, however. Here, we review recently developed stable isotope-mass spectrometric tools for measuring fluxes through metabolic pathways in vivo, focusing on the response to dietary macronutrients (carbohydrates and fats). Methods discussed include measurement of lipid dynamics, DNA replication, hepatic assembly of lipoproteins, and long-lived protein synthesis. Measuring fluxes through multiple pathways concurrently allows regulatory themes to emerge. Use of 2H2O-labeling is emerging as a particularly powerful approach for multiple concurrent biosynthetic flux measurements. Several examples demonstrate that pathway flux results are often unexpected and not predicted by classic biochemistry or the expression of genes and proteins."
"Catherine E. Woteki and , Brian D. Kineman",CHALLENGES AND APPROACHES TO REDUCING FOODBORNE ILLNESS,2003,Annual Review of Nutrition,Annual Reviews,"Microorganisms have successfully adapted to changes in food production, processing, and preservation techniques, resulting in a number of new and emerging foodborne pathogens and the re-emergence of organisms that have been problematic in the past. To protect public health, science must meet the challenges that result from the remarkable adaptability of foodborne pathogens. However, not all of the challenges of preventing foodborne illness reside in the realm of science. Food safety policy must evolve in reponse to new scientific understanding of hazards in the food supply and an ever-changing food processing industry. The laws, regulations, and organizations comprising the food safety system frequently lag behind current scientific knowledge of the risks posed by foodborne pathogens. Future systemic changes to enhance food safety will require better understanding of risks associated with specific pathogens occurring in the food supply and the costs and benefits of implementing mitigation strategies."
Raju G.C. Thomas,WHAT IS THIRD WORLD SECURITY?,2003,Annual Review of Political Science,Annual Reviews,"This paper examines three images of the Third World (postcolonial, nonaligned, and less developed states) and four types of security (international, transnational, regional, and internal) on three continents (Asia, Africa, and Latin America). In the first image, the Third World is defined by a postcolonial racial divide between the former European colonial powers and their decolonized empires. The second image of the Third World is the lingering legacy of the Non-Aligned Movement, which comprised the states outside of the American and Soviet blocs. The third image is that of the less developed world and the continuing struggle between rich and poor, both among and within states. The four forms of security—international, transnational, regional, and internal—encompass interstate conflicts; civil wars, revolutions, and their spillover effects; nationalism and interethnic conflict and the prospect of failed states; the spread of nuclear, biological, and chemical weapons; transnational terrorism; the illicit narcotics trade; and perceived negative consequences of globalization."
Laurence C. Baker,Managed Care Spillover Effects,2003,Annual Review of Public Health,Annual Reviews,"In addition to influencing care for patients enrolled in managed care plans, growth in managed care could lead to broad changes in the structure and functioning of the health care system that could ultimately influence care for all patients, even those not covered by managed care plans. This paper summarizes the mechanisms by which these effects could arise, including shifts in the types of services available in markets and changes in physician practice patterns. The paper summarizes available empirical evidence on broad-level effects of managed care, concluding that the literature supports the view that managed care can have generalized effects on health care spending, utilization patterns, and infrastructure, although existing literature has not clearly identified effects on health outcomes."
"James E. Childs and , Christopher D. Paddock",THE ASCENDANCY OF AMBLYOMMA AMERICANUM AS A VECTOR OF PATHOGENS AFFECTING HUMANS IN THE UNITED STATES,2003,Annual Review of Entomology,Annual Reviews,"Until the 1990s, Amblyomma americanum was regarded primarily as a nuisance species, but a tick of minor importance as a vector of zoonotic pathogens affecting humans. With the recent discoveries of Ehrlichia chaffeensis, Ehrlichia ewingii, and “Borrelia lonestari,” the public health relevance of lone star ticks is no longer in question. During the next 25 years, the number of cases of human disease caused by A. americanum-associated pathogens will probably increase. Based on current trajectories and historic precedents, the increase will be primarily driven by biological and environmental factors that alter the geographic distribution and intensity of transmission of zoonotic pathogens. Sociologic and demographic changes that influence the likelihood of highly susceptible humans coming into contact with infected lone star ticks, in addition to advances in diagnostic capabilities and national surveillance efforts, will also contribute to the anticipated increase in the number of recognized cases of disease."
"Steeve D. Côté, Thomas P. Rooney, Jean-Pierre Tremblay, Christian Dussault, Donald M. Waller",Ecological Impacts of Deer Overabundance,2004,"Annual Review of Ecology, Evolution, and Systematics",Annual Reviews,"Deer have expanded their range and increased dramatically in abundance worldwide in recent decades. They inflict major economic losses in forestry, agriculture, and transportation and contribute to the transmission of several animal and human diseases. Their impact on natural ecosystems is also dramatic but less quantified. By foraging selectively, deer affect the growth and survival of many herb, shrub, and tree species, modifying patterns of relative abundance and vegetation dynamics. Cascading effects on other species extend to insects, birds, and other mammals. In forests, sustained overbrowsing reduces plant cover and diversity, alters nutrient and carbon cycling, and redirects succession to shift future overstory composition. Many of these simplified alternative states appear to be stable and difficult to reverse. Given the influence of deer on other organisms and natural processes, ecologists should actively participate in efforts to understand, monitor, and reduce the impact of deer on ecosystems."
Christoph Dehio,Molecular and Cellular Basis of Bartonella Pathogenesis,2004,Annual Review of Microbiology,Annual Reviews,"The genus Bartonella comprises several important human pathogens that cause a wide range of clinical manifestations: cat-scratch disease, trench fever, Carrión's disease, bacteremia with fever, bacillary angiomatosis and peliosis, endocarditis, and neuroretinitis. Common features of bartonellae include transmission by blood-sucking arthropods and the specific interaction with endothelial cells and erythrocytes of their mammalian hosts. For each Bartonella species, the invasion and persistent intracellular colonization of erythrocytes are limited to a specific human or animal reservoir host. In contrast, endothelial cells are target host cells in probably all mammals, including humans. Bartonellae subvert multiple cellular functions of human endothelial cells, resulting in cell invasion, proinflammatory activation, suppression of apoptosis, and stimulation of proliferation, which may cumulate in vasoproliferative tumor growth. This review summarizes our understanding of Bartonella–host cell interactions and the molecular mechanisms of bacterial virulence and persistence. In addition, current controversies and unanswered questions in this area are highlighted."
