STUDY_ID,REVIEWERS,SCREEN1,SCREEN2,authors,title,year,journal,search,abstract
1,Cecilia,NO,NA,"B. Joseph Hinnebusch, Clayton O. Jarrett, David M. Bland",“fleaing” the plague: adaptations of yersinia pestis to its insect vector that lead to transmission,2017,Annual Review of Microbiology,Annual Reviews,"Interest in arthropod-borne pathogens focuses primarily on how they cause disease in humans. How they produce a transmissible infection in their arthropod host is just as critical to their life cycle, however. Yersinia pestis adopts a unique life stage in the digestive tract of its flea vector, characterized by rapid formation of a bacterial biofilm that is enveloped in a complex extracellular polymeric substance. Localization and adherence of the biofilm to the flea foregut is essential for transmission. Here, we review the molecular and genetic mechanisms of these processes and present a comparative evaluation and updated model of two related transmission mechanisms."
2,Cecilia,NO,NA,Nickolas J. Panopoulos,a career on both sides of the atlantic: memoirs of a molecular plant pathologist,2017,Annual Review of Phytopathology,Annual Reviews,"This article recounts the experiences that shaped my career as a molecular plant pathologist. It focuses primarily on technical and conceptual developments in molecular phytobacteriology, shares some personal highlights and untold stories that impacted my professional development, and describes the early years of agricultural biotechnology. Writing this article required reflection on events occurring over several decades that were punctuated by a mid-career relocation across the Atlantic. I hope it will still be useful, informative, and enjoyable to read. An extended version of the abstract is provided in the Supplemental Materials, available online."
3,Joy,NO,NA,"Laura D. Kramer , Linda M. Styer , Gregory D. Ebel ",a global perspective on the epidemiology of west nile virus,2008,Annual Review of Entomology,Annual Reviews,"West Nile virus (WNV) (Flavivirus: Flaviviridae) is the most widespread arbovirus in the world. A significant range expansion occurred beginning in 1999 when the virus was introduced into New York City. This review highlights recent research into WNV epizootiology and epidemiology, including recent advances in understanding of the host-virus interaction at the molecular, organismal, and ecological levels. Vector control strategies, vaccines, and antivirals, which now must be considered on a global scale, are also discussed."
4,Joy,NO,NA,"Elizabeth T. Borer, Anna-Liisa Laine, Eric W. Seabloom",a multiscale approach to plant disease using the metacommunity concept,2016,Annual Review of Phytopathology,Annual Reviews,"Plant disease arises from the interaction of processes occurring at multiple spatial and temporal scales. With new tools such as next-generation sequencing, we are learning about the diversity of microbes circulating within and among plant populations and often coinhabiting host individuals. The proliferation of pathogenic microbes depends on single-species dynamics and multispecies interactions occurring within and among host cells, the spatial organization and genetic landscape of hosts, the frequency and mode of transmission among hosts and host populations, and the abiotic environmental context. Here, we examine empirical evidence from these multiple scales to assess the utility of metacommunity theory, a theoretical framework developed for free-living organisms to further our understanding of and assist in predicting plant-pathogen infection and spread. We suggest that deeper understanding of disease dynamics can arise through the application of this conceptual framework at scales ranging from individual cells to landscapes. In addition, we use this multiscale theoretical perspective to synthesize existing knowledge, generate novel hypotheses, and point toward promising future opportunities for the study of plant pathogens in natural populations."
5,Cecilia,NO,NA,"Nicholas Freudenberg, Daliah Heller",a review of opportunities to improve the health of people involved in the criminal justice system in the united states,2016,Annual Review of Public Health,Annual Reviews,"In the past decade, many constituencies have questioned the efficacy, cost, and unintended consequences of mass incarceration in the United States. Although substantial evidence now demonstrates that US incarceration policies have had unintended adverse health consequences, we know less about the strategies and policies that can prevent or reduce these problems for justice-involved individuals and how the criminal justice system (CJS) can contribute to the Healthy People 2020 national goal of eliminating inequities in health. This review examines strategies that have been used to improve the health of people at various stages of CJS involvement, including diversion from jail and prison stays into community settings, improvements to the social and physical environments within correctional facilities, provision of health and other services to inmates, assistance for people leaving correctional facilities to make the transition back to the community, and systems coordination and integration."
6,Joy,NO,NA,"Joshua B. Benoit, Geoffrey M. Attardo, Aaron A. Baumann, Veronika Michalkova, Serap Aksoy",adenotrophic viviparity in tsetse flies: potential for population control and as an insect model for lactation,2015,Annual Review of Entomology,Annual Reviews,"Tsetse flies (Glossina spp.), vectors of African trypanosomes, are distinguished by their specialized reproductive biology, defined by adenotrophic viviparity (maternal nourishment of progeny by glandular secretions followed by live birth). This trait has evolved infrequently among insects and requires unique reproductive mechanisms. A key event in Glossina reproduction involves the transition between periods of lactation and nonlactation (dry periods). Increased lipolysis, nutrient transfer to the milk gland, and milk-specific protein production characterize lactation, which terminates at the birth of the progeny and is followed by a period of involution. The dry stage coincides with embryogenesis of the progeny, during which lipid reserves accumulate in preparation for the next round of lactation. The obligate bacterial symbiont Wigglesworthia glossinidia is critical to tsetse reproduction and likely provides B vitamins required for metabolic processes underlying lactation and/or progeny development. Here we describe findings that utilized transcriptomics, physiological assays, and RNA interference–based functional analysis to understand different components of adenotrophic viviparity in tsetse flies."
7,Joy,NO,NA,"Simon Carpenter, Philip S. Mellor, Assane G. Fall, Claire Garros, Gert J. Venter",african horse sickness virus: history transmission and current status,2017,Annual Review of Entomology,Annual Reviews,"African horse sickness virus (AHSV) is a lethal arbovirus of equids that is transmitted between hosts primarily by biting midges of the genus Culicoides (Diptera: Ceratopogonidae). AHSV affects draft, thoroughbred, and companion horses and donkeys in Africa, Asia, and Europe. In this review, we examine the impact of AHSV critically and discuss entomological studies that have been conducted to improve understanding of its epidemiology and control. The transmission of AHSV remains a major research focus and we critically review studies that have implicated both Culicoides and other blood-feeding arthropods in this process. We explore AHSV both as an epidemic pathogen and within its endemic range as a barrier to development, an area of interest that has been underrepresented in studies of the virus to date. By discussing AHSV transmission in the African republics of South Africa and Senegal, we provide a more balanced view of the virus as a threat to equids in a diverse range of settings, thus leading to a discussion of key areas in which our knowledge of transmission could be improved. The use of entomological data to detect, predict and control AHSV is also examined, including reference to existing studies carried out during unprecedented outbreaks of bluetongue virus in Europe, an arbovirus of wild and domestic ruminants also transmitted by Culicoides."
8,Joy,NO,NA,"Scott de Marchi, Scott E. Page",agent-based models,2014,Annual Review of Political Science,Annual Reviews,"Agent-based models (ABMs) provide a methodology to explore systems of interacting, adaptive, diverse, spatially situated actors. Outcomes in ABMs can be equilibrium points, equilibrium distributions, cycles, randomness, or complex patterns; these outcomes are not directly determined by assumptions but instead emerge from the interactions of actors in the model. These behaviors may range from rational and payoff-maximizing strategies to rules that mimic heuristics identified by cognitive science. Agent-based techniques can be applied in isolation to create high-fidelity models and to explore new questions using simple constructions. They can also be used as a complement to deductive techniques. Overall, ABMs offer the potential to advance social sciences and to help us better understand our complex world."
9,Cecilia,NO,NA,"Carl E. Pray, Keith O. Fuglie",agricultural research by the private sector,2015,Annual Review of Resource Economics,Annual Reviews,"The private sector has assumed a larger role in developing improved technology for food and agriculture, with private agricultural R&D spending growing faster than public agricultural R&D spending over the past several decades. Major drivers have been new commercial opportunities afforded by scientific advances and liberalization of agricultural input markets. Along with rising private R&D investment, agricultural input industries have undergone significant structural changes. These developments have been pronounced in both high-income and developing countries. The rising importance of private R&D, however, does not imply a diminished role of the public sector, as most empirical evidence points to complementarities between public and private agricultural R&D."
10,Cecilia,NO,NA,"Derek Byerlee, Alain de Janvry, Elisabeth Sadoulet",agriculture for development: toward a new paradigm,2009,Annual Review of Resource Economics,Annual Reviews,"The fundamental role that agriculture plays in development has long been recognized. In the seminal work on the subject, agriculture was seen as a source of contributions that helped induce industrial growth and a structural transformation of the economy. However, globalization, integrated value chains, rapid technological and institutional innovations, and environmental constraints have deeply changed the context for agriculture's role. We argue that a new paradigm is needed that recognizes agriculture's multiple functions for development in that emerging context: triggering economic growth, reducing poverty, narrowing income disparities, providing food security, and delivering environmental services. Yet, governments and donors have neglected these functions of agriculture with the result that agriculture growth has been reduced, 75% of world poverty is rural, sectoral income disparities have exploded, food insecurity has returned, and environmental degradation is widespread, compromising sustainability. Mobilizing these functions requires shifting the political economy to overcome antiagriculture policy biases, strengthening governance for agriculture, and tailoring priorities to country conditions."
