Timestamp,Hypothesis or gap?,Paper ID,Text from paper,Agriculture & Food Industry Changes,Climate & Weather,Human demographics and behavior,Population & Community Ecology,International Travel & Commerce (non-food),Socio-political environment,Hosts,Pathogens,Land Use Changes,Sentence Summary
6/5/2018 18:13,Hypothesis,1,"Transmission of pathogens into human populations from other species is a natural product of our relation with animals and the environment. The emergence of zoonoses, both recent and historical, can be considered as a logical consequence of pathogen ecology and evolution, as microbes exploit new niches and adapt to new hosts. The underlying causes that create or provide access to these new niches seem to be mediated by human action in most cases, and include changes in land use, extraction of natural resources, animal production systems, modern transportation, anti microbial drug use, and global trade. Although under lying ecological principles that shape how these pathogens survive and change have remained similar, people have changed the environment in which these principles operate.","(changes in) agriculture, (changes in) livestock densities and distribution, (changes in) agriculture",,,(changes in) interspecies contact,"(changes in) animal trade and transport, (changes in) global trade, (changes in) global transportation",,,"drug resistance, host switching and breadth (generalism/specialism), adaptation and evolution",extractive industries,"anthropogenic activities change relationships between humans, animals, and the environment, creating new opportunities for pathogen spillover"
6/5/2018 18:20,Hypothesis,1,"Domestication of animals, clearing of land for farming and grazing, and hunting of wildlife in new habitats, have resulted in zoonotic human infection with microorganisms that cause diseases such as rabies, echinococcosis, and the progenitors of measles and smallpox that had historically affected only animal populations through changes in contact and increased transmission opportunities from animals to people. As human societies have developed, each era of livestock revolution presented new health challenges and new opportunities for emergence of zoonotic pathogens.","(changes in) agriculture, (changes in) livestock densities and distribution, (changes in) agriculture",,"(changes in) human density and distribution, (changes in) hunting behaviour",,,,,,"land conversion for agriculture, encroachment","changes in human relationships with animals (livestock domestication, land conversion to agriculture, hunting and range expansion) led to spillover of animal pathogens into human populations."
6/5/2018 18:23,Hypothesis,1,"In the past few decades, accelerating global changes linked to an expanding global population have led to the emergence of a striking number of newly described zoonoses, including hantavirus pulmonary syndrome, monkeypox, SARS, and simian immunodeficiency virus (the animal precursor to HIV).",,,(changes in) human density and distribution,,,,,,,increases in human population have led to spillover events
6/5/2018 18:33,Hypothesis,1,"Changes in abundance of animal hosts can strikingly affect disease incidence in people. A decrease in the abundance of a preferred animal host can cause an arthropod vector to shift feeding patterns to human beings, leading to a disease outbreak.",,,,"(changes in) community composition, foraging behaviour",,,,vector transmission,,changes in reservoir host density can lead to spillover. example: decrease in preferred host can lead to VBD outbreak if vector switches host.
6/5/2018 18:35,Hypothesis,1,"Environmental changes (including anthropogenic effects) might change the abundance of a wildlife reservoir host, increasing transmission within the reservoir and the risk of zoonotic transmission.",,,,,,,(changes in) abundance and distribution,,,changes in abundance of reservoir host can increase risk on spillover
6/5/2018 18:43,Hypothesis,1,"Ecological principles also apply at the scale of individuals. Infected hosts contain a population of pathogens that grows and evolves according to the same principles as a free-living plant or animal population. Processes of viral replication, immune clearance, and tissue tropism can be understood by analogy to ecological processes of reproduction, mortality, and dispersal between habitats. The microbial ecology of zoonotic pathogens within their reservoir hosts can be a key determinant of risk to human health. For example, feeding different diets to beef cattle before slaughter leads to different environmental conditions within the gut, and a shift in the balance of competition among microbial species, which can change the abundance of human pathogens such as Escherichia coli O157:H7. The ecological principle of competitive exclusion is the basis for common approaches to control of zoonotic pathogens in livestock and poultry. Meta-genomic studies show that the community of commensal bacteria within healthy hosts plays an important part in defence against pathogens. Furthermore, disruption of this community through changes in diet or use of antimicrobials can allow the growth of other organisms, some of which might be pathogenic. This mechanism underlies differential susceptibility to Clostridium difficile infection and might also increase the risk of zoonotic infections (as reported for salmonella). This factor underscores the importance of study of the full microbial community within hosts (microbiome), and not just pathogens.",,,,,,,microbial community,bacteria,,"changes in host microbiome/disruption of microbial community can lead to increases in zoonotic pathogens within the reservoir host, increasing the risk of zoonotic infections."
6/5/2018 18:47,Hypothesis,1,"Increasing demand for food due to an expanding global population has led to a substantial susceptibility of our populations to food-borne zoonoses. Pathogens in the livestock production chain are a particular risk, with repeated outbreaks from meat, eggs, milk, and cheese, or meat byproducts incorporated into foods as flavouring, oils, or stock. Globally, most types of domesticated and wild vertebrates and many invertebrates are foods for people; such foods are capable of harbouring zoonotic bacteria, viruses, or parasites.","(changes in) food availability and distribution, (changes in) livestock densities and distribution",,"(changes in) food preferences, preparation, and storage, (changes in) human density and distribution",,,,,,,increasing human population leads to increasing demand for food leading to higher meat and livestock production and higher abundances of zoonotic pathogens.
6/5/2018 18:50,Hypothesis,1,"The volume of consumption of wildlife products for food is at least an order of magnitude lower than it is for domestic livestock. However, human being–animal contact associated with hunting, preparation, and consumption of wild animals has led to transmission of notable diseases.",,,"(changes in) food preferences, preparation, and storage, (changes in) hunting behaviour",(changes in) interspecies contact,,,,,,"increased human contact with wildlife due to hunting, preparing and eating wildlife has led to zoonotic transmission."
6/5/2018 18:54,Hypothesis,1,increased livestock production in developing countries without adequate disease-management practices might lead to the emergence of other pathogens due to the introduction of new hosts.,"(changes in) livestock densities and distribution, (changes in) agriculture",,,(changes in) community composition,,"poverty, (changes in) sanitation and public health infrastructure",(changes in) abundance and distribution,,,introduction of new reservoir hosts by increasing livestock densities in poor countries that have limited public health measures increases spillover emergence.
6/5/2018 18:59,Hypothesis,1,"Many foodborne zoonoses are enzootic in livestock (eg, bovine tuberculosis, brucellosis, salmonellosis, and some helminth infections), especially in low-income and middle-income countries, and result in endemic infections and outbreaks of disease in people. Cultural and farming practices such as stocking rates, mixing of species, methods of confinement, and feeding, and lack of proper implementation of disease-control methods— because of weak veterinary infrastructures and in sufficient public–private partnerships to support and strengthen them—can serve to maintain or spread zoonotic diseases in livestock and provide a source of new infections in susceptible human populations. The techniques with which animals are slaughtered and processed, and how products are stored, packed, transported, and prepared at the place they are consumed, also enable foodborne disease outbreaks.","(changes in) agriculture, (changes in) agriculture",,"(changes in) food preferences, preparation, and storage",,,"poverty, (changes in) sanitation and public health infrastructure",,non-close contact,,"the way livestock are managed, slaughtered, transported, and prepared for consumption in areas where farming practices go un-monitored because of weak public and veterinary health infrastructure can lead to foodborne disease outbreaks."
6/8/2018 19:17,Hypothesis,1,"Many zoonoses can be linked to large-scale changes in land use that affect biodiversity and relations between animal hosts, people, and pathogens. Land modification, irrespective of reason, changes vegetation patterns, vector and host species dynamics (eg, abundance, distribution, and demographics), microclimates, and human contact with domestic and wild animals. All these factors are crucial in disease ecology. The effects have been well studied and described for vector-borne diseases such as malaria and Lyme disease. In northeastern USA, a historical cycle of deforestation, reforestation, and habitat fragmentation changed predator–prey populations and led to the emergence of Lyme disease. Prevalence of human alveolar echinococcosis (caused by Echinococcus multilocularis, a tapeworm of wild and domestic canids, with small mammals serving as inter mediate hosts) in Tibet is correlated with overgrazing and degradation of pastures and the resulting increase in small mammal densities.",,,(changes in) human density and distribution,"(changes in) biodiversity, (changes in) community composition, (changes in) geographic overlap, (changes in) interspecies contact",,,(changes in) abundance and distribution,,"deforestation, environmental degradation, land conversion for agriculture, reforestation and restoration","large-scale anthropogenic land use change perturbs the ecology of hosts, vectors, and pathogens and can lead to zoonotic emergence"
6/8/2018 19:22,Hypothesis,1,"In tropical regions, changes in land use have been linked to the occurrence of Chagas disease, yellow fever, and leishmaniasis. Such changes are particularly intense in tropical regions where primary forest is opened up to mining, logging, plantation development, and oil and gas extraction. This deforestation poses a threat to global health because many of these regions are emerging disease hotspots—rich in wildlife biodiversity and probably rich in the diversity of microbes, many of which have not yet been encountered by people. Increased access to tropical forests for these extractive industries might increase the risk of zoonotic disease by changing habitat and vector community composition, modifying the distribution of wildlife populations and domestic animals, and increasing exposure to pathogens through increased human contact with animals.",,,,"(changes in) community composition, (changes in) interspecies contact",,,(changes in) abundance and distribution,,"deforestation, extractive industries","deforestation and extractive industries, especially in tropical areas with high biodiversity, can change the distribution of reservoirs and vectors and increase human exposure to zoonotic pathogens through increased contact with animals."
6/8/2018 19:24,Hypothesis,1,"Human contact with wildlife is increased on a large scale through road building, establishment of settlements, and increased mobility of people, and the extractive process itself. Where these changes take place, hunting, consumption, and trade in wildlife for food often increases.",,,"(changes in) food preferences, preparation, and storage, (changes in) human density and distribution, (changes in) hunting behaviour",(changes in) interspecies contact,(changes in) animal trade and transport,,,,"extractive industries, urbanization",
6/8/2018 19:29,Hypothesis,1,"If sites are poorly managed, increased populations can strain existing infrastructure, leading to overcrowding, poor sanitary conditions, improper disposal of waste, and a lack of potable water. All of these changes increase the risk of cross-species trans mission of pathogens, resulting in zoonotic disease. Additionally, new human inhabitants (recent immigrants) might not have immunity to zoonotic diseases endemic to the area, making them particularly susceptible to infection.",,,"(changes in) human density and distribution, (changes in) susceptibili",,,sanitation and public health infrastructure,,,extractive industries,
6/8/2018 19:32,Hypothesis,1,"Several pathways exist through which antimicrobial-resistant zoonotic pathogens could be transmitted from livestock to people, including through food consumption, direct contact with treated animals, waste management, use of manure as fertiliser, faecal contamination of run-off , movement of fomites through water and wind, and translocation or migration of animals.","(changes in) agriculture, (changes in) livestock densities and distribution, (changes in) agriculture",,"(changes in) food preferences, preparation, and storage",(changes in) interspecies contact,(changes in) animal trade and transport,,,,,
5/31/2018 17:08,Hypothesis,2,the expansion of the human population into virgin forests could disturb the virus reservoirs and increase the opportunities for viral transmission from animals to humans,,,(changes in) human density and distribution,(changes in) geographic overlap,,,,virus,encroachment,
5/31/2018 17:09,Hypothesis,2,It is believed that aircraft can carry virus-infected animals or arthropods from country-to-country and continent-to continent,,,,,(changes in) global transportation,,,,,
5/31/2018 17:11,Hypothesis,2,"Unplanned migration due to war or natural disasters has played a large part in introducing infectious diseases into humans. Refugee camps, resettlement areas, and temporary shelters are often characterized by crowded living conditions, poor sanitation, and populations having poor nutrition status, limited access to clean water and medical care, as well as being poorly vaccinated, and lacking separation from insects and animals in the environment",,,(changes in) human density and distribution,(changes in) interspecies contact,,"famine, human displacement, (changes in) sanitation and public health infrastructure, war & conflict",,,,
5/31/2018 17:19,Hypothesis,2,"It has been thought that a zoonotic virus can be transmitted from animals to food handlers who handle, kill, or butcher animals. Direct contact of humans with animal blood, bodily fluids, or excreta during food handling appears to be the simplest and most plausible explanation for the cross-species transmission of viruses.",,,"(changes in) food preferences, preparation, and storage, (changes in) hunting behaviour",(changes in) interspecies contact,,,,"virus, close contact",,
5/31/2018 17:22,Hypothesis,2,the domestic wholesale and retail poultry markets provide the opportunity for the spread of viruses directly to humans,(changes in) livestock densities and distribution,,,(changes in) interspecies contact,,,bird,close contact,,
5/31/2018 17:25,Hypothesis,2,"The extension of agricultural cultivation into forests may alter the existing zoonotic transmission cycles. The removal of forests and development of new farmland expose farmers and workers to disease-carrying arthropods and rodents. As humans encroach upon the forests, it becomes more likely that they will be exposed to new infectious agents.",(changes in) agriculture,,,"(changes in) geographic overlap, (changes in) interspecies contact",,,rodent,vector transmission,"deforestation, encroachment, land conversion for agriculture",
5/31/2018 17:26,Hypothesis,2,"Logging, dam construction, mining, and oil/gas exploitation are also direct causes of deforestation. Expanding human habitation in a region may put people in direct contact with new animal species and thus their viruses",,,,(changes in) interspecies contact,,,,virus,"deforestation, encroachment",
6/5/2018 16:34,Hypothesis,2,"Most of the viral agents in EID are RNA viruses that have high mutation rates. This leads to their rapid evolution and environmental adaptability, so that RNA viruses can reach adaptive equilibrium within their host species very rapidly.",,,,,,,,"virus, adaptation and evolution",,
5/31/2018 15:58,Hypothesis,3,"customs, traditions, cultural and religious beliefs all have significant impact on the choice and preparation of food and consequently the potential exposure to foodborne parasitic agents... An increasing number of consumers is now searching for exotic products...At the same time, there is an increasing interest for healthy and ready-to-eat products, such as ready-to-eat salads. Soft fruit and salad vegetables increase both the likelihood of surface contamination and the survival of the infective stages of parasites pathogenic to man...Fish meat may indeed be the vehicle for different parasite species, and the new dietary habits linked to the higher demand for fish in many countries, in particular for saltwater fish, have favoured the exposure to fishborne parasites...the increased consumption of raw vegetables and undercooking to retain the natural taste and preserve heat-labile nutrients and vitamins may be linked to increased risk of foodborne transmission of zoonoses...The consumption of “unusual” animal species is also an increasing trend possibly linked to foodborne parasitic infection.",,,"(changes in) food preferences, preparation, and storage",,,,,,,
5/31/2018 16:03,Hypothesis,3,"As result of demographic growth and an increase in quality of life in developed countries, in order to meet rising demand for products of animal origin, agriculture has been intensified and the number and concentration of livestock is increasing rapidly, especially poultry and pigs...The major share of this growth will be supplied by developing countries...where biosecurity regimes may be not always sufficient in preventing livestock from disease","(changes in) agriculture, (changes in) livestock densities and distribution",,(changes in) human density and distribution,,,,"bird, swine",,,
5/31/2018 16:05,Hypothesis,3,the emerging trend is for more extensive and outdoor livestock rearing to comply with increasing public demand for organic production and management practices to improve animal welfare. Such free-ranging livestock in close contact with both the environment and wildlife may constitute an opportunity for emerging parasitic infections,"(changes in) agriculture (intensification, expansion, farming practices), (changes in) agriculture",,"(changes in) food preferences, preparation, and storage",(changes in) interspecies contact,,,,,,
5/31/2018 16:08,Hypothesis,3,"The changing use of water in modern agriculture, the food industry and by human communities may also lead to an increased spread of waterborne parasitic diseases...contaminated water is an important source of human infection either by direct consumption or by the use of contaminated water in food processing or preparation",(changes in) water management,,,,,(changes in) sanitation and public health infrastructure,,non-close contact,environmental degradation,
5/31/2018 16:13,Hypothesis,3,"As a result of urbanisation (more than 50% of the global population now lives in urban areas), demographic increase and market forces, food (including contaminated food) is now moving on a global scale, carried rapidly from continent to continent. The deployment of more efficient and rapid means of transporting perishable goods worldwide enable fresh products to be available nearly year round. Together, these factors have influenced the emergence and recognition of some foodborne parasites",(changes in) food availability and distribution,,"(changes in) food preferences, preparation, and storage, (changes in) human density and distribution",,,,,,urbanization,
5/31/2018 16:16,Hypothesis,3,"Adventure travel, involving activities such as safaris, tours, adventure sports and extreme travel, is the largest growing segment of the leisure travel industry...This type of travel increases the chances that tourists participating in such activities will enter into contact with pathogens uncommon in industrialized countries...The growing trend for adventure tourism, trekking and mountaineering bring more and more people in touch with wildlife habitats, where sylvatic life cycle of many parasites takes place.",,,,(changes in) interspecies contact,tourism and travel,,,,,
5/31/2018 16:18,Hypothesis,3,"There are emerging patterns of movements of irregular migrants from less-developed parts of the world to developed countries in search of better opportunities. This mobility implies also importing different cultures...For this reason the barriers for human infection with parasites, which was considered to be geographically limited because of parasites’ adaptations to specific definitive and intermediate hosts, and particular environmental conditions, are slowly being breached",,,(changes in) human density and distribution,(changes in) geographic overlap,,human displacement,,,,
5/31/2018 16:37,Hypothesis,3,Travellers dining in street restaurants can be expected to have much higher risks of infections with various parasites,,,"(changes in) food preferences, preparation, and storage",,tourism and travel,,,non-close contact,,
5/31/2018 16:44,Hypothesis,3,Hunting and other outdoor activities may also be an exposure factor to eating inadequately cooked game...during or after hunting and shooting expeditions,,,"(changes in) food preferences, preparation, and storage, (changes in) hunting behaviour",,,,,,,
5/31/2018 16:48,Hypothesis,3,"traditional and local food markets in many parts of the world can be associated with emergence of new foodborne parasitic diseases. Live animal markets, also known as wet markets, have always been the principal mode of commercialization of poultry and many other animal species. Such markets, quite uncommon until some decades ago in developed countries, are emerging as a new mode of commercialization within specific ethnic groups for whom this type of trade assures freshness of the product but raises major public health concerns",(changes in) food availability and distribution,,"captive wildlife, (changes in) food preferences, preparation, and storage",,,,bird,,,
6/5/2018 10:03,Hypothesis,4,"Phylogenetic relatedness among host species may facilitate more cross-species transmission events because of similar immune responses and cellular receptors, which appears to be the case for humans and other primates that share susceptibility to many pathogens",,,(changes in) susceptibility,,,,"non-human primate, phylogenetic relatedness",,,
6/5/2018 10:06,Hypothesis,4,Livestock located in communities that border the habitats of wild and endangered species can act as a reservoir for intestinal parasites that can then be transmitted between people and wild animals,(changes in) livestock densities and distribution,,,"(changes in) community composition, (changes in) geographic overlap",,,,,,
6/5/2018 10:09,Hypothesis,4,Agricultural land also provides an area where wildlife may overlap with human communities through “crop-raiding” (the consumption and destruction of agricultural products),attraction of wildlife and commensals,,,(changes in) geographic overlap,,,,,,
6/5/2018 10:11,Hypothesis,4,"Visits to agricultural fairs, open farms, farmers’ markets, petting zoos, and other temporary animal exhibits present additional opportunities of zoonotic disease transmission",(changes in) agriculture,,,(changes in) interspecies contact,(changes in) animal trade and transport,,,,,
6/5/2018 10:11,Hypothesis,4,Human contact with wildlife in association with nature-based tourism presents additional opportunities for pathogen transmission. Ecotourism increasingly brings people into contact with potential reservoirs of infection,,,,(changes in) interspecies contact,tourism and travel,,,,,
6/5/2018 10:12,Hypothesis,4,"Human contact with companion animals represents another avenue by which pathogens may be exchanged between groups. The global trade in domesticated and wild animals as personal companions is staggering, with more than 1.68 billion animals traded in the United States between the years 2000 and 2006...Disease transmission is an often overlooked cause of morbidity and mortality from privately owned animals, yet pet-associated infections in humans are common",,,captive wildlife,,,,,,,
6/5/2018 10:13,Hypothesis,4,"Bushmeat serves as a very significant source of EIDs...hunting wild animals (particularly primates) for consumption carries with it certain risks of pathogen transmission...Hunting these animals is associated with the risk of biting, and accidental cutting can happen during meat preparation",,,"(changes in) food preferences, preparation, and storage, (changes in) hunting behaviour",,,,non-human primate,,,
6/5/2018 10:19,Hypothesis,4,"many cultures value fresh, live animal protein over previously butchered or prepared/refrigerated/frozen. These live animals are traded and sold in markets (“wet markets”) that bring together diverse species in high densities under relatively poor conditions. Several major epidemics have originated from such locations",(changes in) livestock densities and distribution,,"(changes in) food preferences, preparation, and storage",(changes in) interspecies contact,,,,,,
6/5/2018 11:38,Hypothesis,5,"Habitat change, in the form of deforestation, extensive land use, agricultural development and alterations in water storage and irrigation habits, provide new niches for vectors. Deforestation and transformation of forests to grazing land, agricultural areas, human settlements or open areas, result in significant alterations in the environment and changes in the composition of vectors, and therefore, the introduction of new pathogens","(changes in) agriculture, (changes in) water management",,,(changes in) community composition,,,,vector transmission,"deforestation, land conversion for agriculture",
6/5/2018 11:43,Hypothesis,5,"The world is undergoing human population growth and massive urbanization. These processes are associated with displacement of people from rural areas to urban centers, creating new contacts and interactions in the new densely populated environment. The newcomers are usually more vulnerable to the endemic diseases to which they may not be immune. On the other hand they may introduce new pathogens and vectors to the new environment. Under these conditions, the chances for exchange and transmission of vectors and parasites increase. Unplanned and uncontrolled urbanization in developing countries usually results in the deterioration of public health infrastructure, sanitation, water, sewage and waste management systems. In addition, the construction of new roads provides means of vector and host transportation. These alterations produce ideal conditions for the transmission of vector-borne diseases to large populations.",,,(changes in) human density and distribution,,(changes in) global transportation,"human displacement, (changes in) sanitation and public health infrastructure",,,urbanization,
6/5/2018 11:48,Hypothesis,5,"The basis for the development of insecticide- and drug resistance is complex. Major factors involved include selection, the development of genetic mutations, and extensive and improper drug use. Population and vector movement, among other factors, are involved in the emergence of drug-resistant vectors and pathogens. Insecticide and drug resistance of vectors and parasites are powerful drivers for the re-emergence and upsurgence of diseases",,,,,,,,"drug resistance, adaptation and evolution, vector transmission",,
6/5/2018 11:53,Hypothesis,5,"Globalization and the associated ‘open borders’ policy caused a remarkable expansion of trade and human movement. These are two major drivers for the emergence and spread of vector-borne diseases. Large quantities of goods are transported daily around the world allowing invasion of vectors through airplanes, ships, containers, luggage and by other means...Livestock, pet and exotic animal international transportation are also important factors in the spread of infectious agents and vectors",,,,,"(changes in) animal trade and transport, (changes in) global trade, (changes in) global transportation",,,vector transmission,,
6/6/2018 10:52,Hypothesis,5,"Changes in climate and temperatures affect the distribution of vectors and the effectiveness of pathogen transmission by vectors. The atmospheric composition changes constantly as a result of human activities, particularly combustion of fossil fuels. This results in the significant increase of atmospheric carbon dioxide concentrations and reduced plant water loss through evapotranspiration. Therefore, plants produce more foliage with the same amount of water, increasing the density of plant foliage for extended periods in the year and providing more favorable microclimates for insect vectors",,"global warming, (changes in) temperature",,,,,(changes in) abundance and distribution,vector transmission,environmental degradation,
6/6/2018 10:54,Hypothesis,5,Major climate events such as El Nino trigger the emergence of disease outbreaks...Increased rainfall favors the growth of mosquito population resulting in an increased incidence of mosquito-borne diseases.,,"El Niño Southern Oscillation (ENSO), (changes in) precipitation",,,,,,vector transmission,,
6/6/2018 10:55,Hypothesis,5,"Satellite data have shown that urban and industrial air pollution suppresses precipitation...Pollution associated alterations in rainfall may alter vector habitats, and therefore, the distribution of associated pathogens.",,(changes in) precipitation,,,,,,,environmental degradation,
6/6/2018 10:57,Hypothesis,5,"Suppression of the immune system, whether acquired by natural infection with immunospressive pathogens such as HIV, or induced by therapy as in the case of cancer or organ transplant, may change the distribution and spread of infectious diseases. Cellular immunity is most important in defense against protozoa and some bacteria, and its impairment may induce extreme susceptibility to a new infection, or allow reactivation of dormant and otherwise asymptomatic previous infection.",,,(changes in) susceptibility,,,,,,,
6/6/2018 10:58,Hypothesis,5,"War as well as civil unrest prevent active intervention and proper public health measures for disease prevention (e.g. vector control, vaccination and access to health services).",,,,,,"(changes in) sanitation and public health infrastructure, war & conflict",,vector transmission,,
