Title,Year,Journal,Anthropology,Cellular & Molecular Biology,Ecology & Evolution,Environmental Science,Food & Agriculture,Microbiology & Immunology,Parasitology,Public Health & Medicine,Veterinary Science & Animal Health,Virology
Ecology of zoonoses: natural and unnatural histories,2012,The Lancet,,,1,,,,,1,1,
Reasons for the increase in emerging and re-emerging viral infectious diseases,2006,Microbes and Infection,,1,,,,1,,,,
Changing dietary habits in a changing world: Emerging drivers for the transmission of foodborne parasitic zoonoses,2011,Veterinary Parasitology,,,,,1,,1,,1,
Disease and Human/Animal Interactions,2016,Annual Review of Anthropology,1,,,,,,,,,
Drivers for the emergence and re-emergence of vector-borne protozoal and bacterial diseases,2005,International Journal for Parasitology,,,,,,,1,,1,
Emerging virus diseases: can we ever expect the unexpected?,2012,Emerging Microbes & Infections,,,,,,1,,1,,
Evolutionary ecology of virus emergence,2017,Annals of the New York Academy of Sciences,,,1,,,,,,,
Human drivers of ecological and evolutionary dynamics in emerging and disappearing infectious disease systems,2016,Philosophical Transactions of the Royal Society B: Biological Sciences,,,1,,1,,,,,
"Food, parasites, and epidemiological transitions: A broad perspective",2013,International Journal of Paleopathology,1,,,,,,1,1,,
"Emerging or re-emerging bacterial zoonoses: factors of emergence, surveillance and control",2005,Veterinary Research,,,,,,,,1,1,
Ecological sources of zoonotic diseases,2004,Revue Scientifique et Technique,,,1,1,1,,,,,
Factors and determinants of disease emergence,2004,Revue Scientifique et Technique,,,,,,,,1,,
Zoonosis emergence linked to agricultural intensification and environmental change,2013,Proceedings of the National Academy of Sciences,,,,,1,,,1,1,
Anthropogenic factors responsible for emerging and re-emerging infectious diseases,2013,Current Science,,,,,,,,1,1,
Animal helminths in human archaeological remains: a review of zoonoses in the past,2009,Revista do Instituto de Medicina Tropical de Sao Paulo,1,,,,,,1,1,,
Effects of environmental change on zoonotic disease risk: an ecological primer,2014,Trends in Parasitology,,,1,,,,1,,1,
The socio-ecology of zoonotic infections,2011,Clinical Microbiology and Infection,,,,,,1,1,1,,
Farm Fairs and Petting Zoos: A Review of Animal Contact as a Source of Zoonotic Enteric Disease,2017,Foodborne Pathogens and Disease,,,,,1,,,,,
Infections at the Animal/Human Interface: Shifting the Paradigm from Emergency Response to Prevention at Source,2013,Current Topics in Microbiology and Immunology,,,,,,1,,1,,
The Human/Animal Interface: Emergence and Resurgence of Zoonotic Infectious Diseases,2007,Critical Reviews in Microbiology,,,,,,,,,1,
Emerging bacterial pathogens: the past and beyond,2016,Clinical Microbiology and Infection,,,,,,1,,,,
Emerging Threats to Human Health from Global Environmental Change,2009,Annual Review of Environment and Resources,,,,1,,,,1,,
The Changing Disease-Scape in the Third Epidemiological Transition,2010,International Journal of Environmental Research and Public Health,1,,,,,,,1,,
The interconnected and cross-border nature of risks posed by infectious diseases,2014,Global Health Action,,,,,,,,1,,
The Importance of Understanding the Human–Animal Interface: From Early Hominins to Global Citizens,2012,Current Topics in Microbiology and Immunology,,,,,,,,,1,1
Human behaviour and the epidemiology of parasitic zoonoses,2005,International Journal for Parasitology,,,,,,,1,1,1,
Changing Geographic Distributions of Human Pathogens,2010,"Annual Review of Ecology, Evolution, and Systematics",,,1,1,,,,1,,
"Links Among Human Health, Animal Health, and Ecosystem Health",2013,Annual Review of Public Health,,,1,1,,,,1,1,
Navigating parasite webs and parasite flow: Emerging and re-emerging parasitic zoonoses of wildlife origin,2005,International Journal for Parasitology,,,,,,,1,,1,
Mechanisms of viral emergence,2010,Veterinary Research,,1,,,,,,,,
Ecological Origins of Novel Human Pathogens,2007,Critical Reviews in Microbiology,,,,,,1,,,,
