Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Echinococcosis and cysticercosis in Asia: evaluation of the modern technology for epidemiological study.,/pubmed/19238666,"Ito A, Yamasaki H, Nakao M, Sako Y, Nakaya K, Mamuti W, Xiao N, Sato MO, Ishikawa Y.",Southeast Asian J Trop Med Public Health. 2003;34 Suppl 2:103-7. Review.,Southeast Asian J Trop Med Public Health.  2003,PubMed,citation,PMID:19238666,pubmed,19238666,create date:2003/01/01 | first author:Ito A
Biosecurity for animal facilities and associated laboratories.,/pubmed/12509785,"Richmond JY, Nesby-O'Dell S.",Lab Anim (NY). 2003 Jan;32(1):32-5. Review.,Lab Anim (NY).  2003,PubMed,citation,PMID:12509785,pubmed,12509785,create date:2003/01/02 | first author:Richmond JY
Molecular host-pathogen interaction in brucellosis: current understanding and future approaches to vaccine development for mice and humans.,/pubmed/12525425,"Ko J, Splitter GA.",Clin Microbiol Rev. 2003 Jan;16(1):65-78. Review.,Clin Microbiol Rev.  2003,PubMed,citation,PMID:12525425 | PMCID:PMC145300,pubmed,12525425,create date:2003/01/15 | first author:Ko J
Ehrlichia chaffeensis: a prototypical emerging pathogen.,/pubmed/12525424,"Paddock CD, Childs JE.",Clin Microbiol Rev. 2003 Jan;16(1):37-64. Review.,Clin Microbiol Rev.  2003,PubMed,citation,PMID:12525424 | PMCID:PMC145301,pubmed,12525424,create date:2003/01/15 | first author:Paddock CD
Concepts in immunology and diagnosis of hydatid disease.,/pubmed/12525423,"Zhang W, Li J, McManus DP.",Clin Microbiol Rev. 2003 Jan;16(1):18-36. Review.,Clin Microbiol Rev.  2003,PubMed,citation,PMID:12525423 | PMCID:PMC145297,pubmed,12525423,create date:2003/01/15 | first author:Zhang W
"Regulation, secretion and activity of type III-secreted proteins of enterohaemorrhagic Escherichia coli O157.",/pubmed/12546663,"Roe AJ, Hoey DE, Gally DL.",Biochem Soc Trans. 2003 Feb;31(Pt 1):98-103. Review.,Biochem Soc Trans.  2003,PubMed,citation,PMID:12546663,pubmed,12546663,create date:2003/01/28 | first author:Roe AJ
Leishmaniasis: new approaches to disease control.,/pubmed/12586674,"Davies CR, Kaye P, Croft SL, Sundar S.",BMJ. 2003 Feb 15;326(7385):377-82. Review. No abstract available. ,BMJ.  2003,PubMed,citation,PMID:12586674 | PMCID:PMC1125241,pubmed,12586674,create date:2003/02/15 | first author:Davies CR
Overview of the epidemiological situation on echinococcosis in the Mediterranean region.,/pubmed/12606096,Seimenis A.,Acta Trop. 2003 Feb;85(2):191-5. Review.,Acta Trop.  2003,PubMed,citation,PMID:12606096,pubmed,12606096,create date:2003/02/28 | first author:Seimenis A
Hydatidosis-echinococcosis in Greece.,/pubmed/12606097,"Sotiraki S, Himonas C, Korkoliakou P.",Acta Trop. 2003 Feb;85(2):197-201. Review.,Acta Trop.  2003,PubMed,citation,PMID:12606097,pubmed,12606097,create date:2003/02/28 | first author:Sotiraki S
Tularaemia.,/pubmed/12608453,"Tärnvik A, Berglund L.",Eur Respir J. 2003 Feb;21(2):361-73. Review.,Eur Respir J.  2003,PubMed,citation,PMID:12608453,pubmed,12608453,create date:2003/03/01 | first author:Tärnvik A
Rift Valley fever: an uninvited zoonosis in the Arabian peninsula.,/pubmed/12615379,"Balkhy HH, Memish ZA.",Int J Antimicrob Agents. 2003 Feb;21(2):153-7. Review.,Int J Antimicrob Agents.  2003,PubMed,citation,PMID:12615379,pubmed,12615379,create date:2003/03/05 | first author:Balkhy HH
Nipah virus--a potential agent of bioterrorism?,/pubmed/12615307,Lam SK.,Antiviral Res. 2003 Jan;57(1-2):113-9. Review.,Antiviral Res.  2003,PubMed,citation,PMID:12615307,pubmed,12615307,create date:2003/03/05 | first author:Lam SK
Impact of travel on international spread of antimicrobial resistance.,/pubmed/12615377,"Memish ZA, Venkatesh S, Shibl AM.",Int J Antimicrob Agents. 2003 Feb;21(2):135-42. Review.,Int J Antimicrob Agents.  2003,PubMed,citation,PMID:12615377,pubmed,12615377,create date:2003/03/05 | first author:Memish ZA
Nipah virus outbreak in Malaysia.,/pubmed/12637075,Chua KB.,J Clin Virol. 2003 Apr;26(3):265-75. Review.,J Clin Virol.  2003,PubMed,citation,PMID:12637075,pubmed,12637075,create date:2003/03/15 | first author:Chua KB
Will the enigma of Francisella tularensis virulence soon be solved?,/pubmed/12648943,"Titball RW, Johansson A, Forsman M.",Trends Microbiol. 2003 Mar;11(3):118-23. Review.,Trends Microbiol.  2003,PubMed,citation,PMID:12648943,pubmed,12648943,create date:2003/03/22 | first author:Titball RW
Tularemia.,/pubmed/12675294,Feldman KA.,J Am Vet Med Assoc. 2003 Mar 15;222(6):725-30. Review.,J Am Vet Med Assoc.  2003,PubMed,citation,PMID:12675294,pubmed,12675294,create date:2003/04/05 | first author:Feldman KA
"Managing emerging diseases borne by fruit bats (flying foxes), with particular reference to henipaviruses and Australian bat lyssavirus.",/pubmed/12675937,"Mackenzie JS, Field HE, Guyatt KJ.",J Appl Microbiol. 2003;94 Suppl:59S-69S. Review.,J Appl Microbiol.  2003,PubMed,citation,PMID:12675937,pubmed,12675937,create date:2003/04/05 | first author:Mackenzie JS
Viral zoonoses - a threat under control?,/pubmed/12684545,"Ludwig B, Kraus FB, Allwinn R, Doerr HW, Preiser W.",Intervirology. 2003;46(2):71-8. Review.,Intervirology.  2003,PubMed,citation,PMID:12684545,pubmed,12684545,create date:2003/04/10 | first author:Ludwig B
Acute acalculous cholecystitis associated with Q fever: report of seven cases and review of the literature.,/pubmed/12687414,"Rolain JM, Lepidi H, Harlé JR, Allegre T, Dorval ED, Khayat Z, Raoult D.",Eur J Clin Microbiol Infect Dis. 2003 Apr;22(4):222-7. Epub 2003 Mar 28. Review.,Eur J Clin Microbiol Infect Dis.  2003,PubMed,citation,PMID:12687414,pubmed,12687414,create date:2003/04/11 | first author:Rolain JM
Control of phlebotomine sandflies.,/pubmed/12680919,"Alexander B, Maroli M.",Med Vet Entomol. 2003 Mar;17(1):1-18. Review.,Med Vet Entomol.  2003,PubMed,citation,PMID:12680919,pubmed,12680919,create date:2003/04/12 | first author:Alexander B
Genetic epidemiology of Trypanosoma cruzi infection and Chagas' disease.,/pubmed/12700060,"Williams-Blangero S, VandeBerg JL, Blangero J, Corrêa-Oliveira R.",Front Biosci. 2003 May 1;8:e337-45. Review.,Front Biosci.  2003,PubMed,citation,PMID:12700060,pubmed,12700060,create date:2003/04/18 | first author:Williams-Blangero S
The current status of parasitic diseases in Japan.,/pubmed/12705786,"Nakamura-Uchiyama F, Hiromatsu K, Ishiwata K, Sakamoto Y, Nawa Y.",Intern Med. 2003 Mar;42(3):222-36. Review.,Intern Med.  2003,PubMed,citation,PMID:12705786,pubmed,12705786,create date:2003/04/23 | first author:Nakamura-Uchiyama F
Pathogen survival in swine manure environments and transmission of human enteric illness--a review.,/pubmed/12708660,"Guan TY, Holley RA.",J Environ Qual. 2003 Mar-Apr;32(2):383-92. Review. Erratum in: J Environ Qual. 2003 May-Jun;32(3):1153. ,J Environ Qual.  2003,PubMed,citation,PMID:12708660,pubmed,12708660,create date:2003/04/24 | first author:Guan TY
Control of echinococcosis and cysticercosis: a public health challenge to international cooperation in China.,/pubmed/12711098,"Ito A, Urbani C, Jiamin Q, Vuitton DA, Dongchuan Q, Heath DD, Craig PS, Zheng F, Schantz PM.",Acta Trop. 2003 Apr;86(1):3-17. Review.,Acta Trop.  2003,PubMed,citation,PMID:12711098,pubmed,12711098,create date:2003/04/25 | first author:Ito A
Echinococcosis--an international public health challenge.,/pubmed/12726737,"Torgerson PR, Budke CM.",Res Vet Sci. 2003 Jun;74(3):191-202. Review.,Res Vet Sci.  2003,PubMed,citation,PMID:12726737,pubmed,12726737,create date:2003/05/03 | first author:Torgerson PR
Hepatitis E virus.,/pubmed/12740830,"Emerson SU, Purcell RH.",Rev Med Virol. 2003 May-Jun;13(3):145-54. Review.,Rev Med Virol.  2003,PubMed,citation,PMID:12740830,pubmed,12740830,create date:2003/05/13 | first author:Emerson SU
Infectious threats from exotic pets: dermatological implications.,/pubmed/12757244,"Rosen T, Jablon J.",Dermatol Clin. 2003 Apr;21(2):229-36. Review.,Dermatol Clin.  2003,PubMed,citation,PMID:12757244,pubmed,12757244,create date:2003/05/22 | first author:Rosen T
Tick-borne infections.,/pubmed/12757245,"Singh-Behl D, La Rosa SP, Tomecki KJ.","Dermatol Clin. 2003 Apr;21(2):237-44, v. Review.",Dermatol Clin.  2003,PubMed,citation,PMID:12757245,pubmed,12757245,create date:2003/05/22 | first author:Singh-Behl D
Improving meat inspection and control in resource-poor communities: the Nepal example.,/pubmed/12781386,"Joshi DD, Maharjan M, Johansen MV, Willingham AL, Sharma M.",Acta Trop. 2003 Jun;87(1):119-27. Review.,Acta Trop.  2003,PubMed,citation,PMID:12781386,pubmed,12781386,create date:2003/06/05 | first author:Joshi DD
Measures for the prevention and control of Taenia solium taeniosis and cysticercosis.,/pubmed/12781388,"Sarti E, Rajshekhar V.",Acta Trop. 2003 Jun;87(1):137-43. Review.,Acta Trop.  2003,PubMed,citation,PMID:12781388,pubmed,12781388,create date:2003/06/05 | first author:Sarti E
Animal bites: the current management guidelines.,/pubmed/12785276,"Chhabra M, Ichhpujani RL.",Indian J Pediatr. 2003 Mar;70 Suppl 1:S11-6. Review.,Indian J Pediatr.  2003,PubMed,citation,PMID:12785276,pubmed,12785276,create date:2003/06/06 | first author:Chhabra M
Vaccinating badgers (Meles meles) against Mycobacterium bovis: the ecological considerations.,/pubmed/12788016,"Delahay RJ, Wilson GJ, Smith GC, Cheeseman CL.",Vet J. 2003 Jul;166(1):43-51. Review.,Vet J.  2003,PubMed,citation,PMID:12788016,pubmed,12788016,create date:2003/06/06 | first author:Delahay RJ
Avian influenza and Newcastle disease.,/pubmed/12784958,"Swayne DE, King DJ.",J Am Vet Med Assoc. 2003 Jun 1;222(11):1534-40. Review. No abstract available. ,J Am Vet Med Assoc.  2003,PubMed,citation,PMID:12784958,pubmed,12784958,create date:2003/06/06 | first author:Swayne DE
Bovine spongiform encephalopathy in sheep?,/pubmed/12793775,"Schreuder BE, Somerville RA.",Rev Sci Tech. 2003 Apr;22(1):103-20. Review.,Rev Sci Tech.  2003,PubMed,citation,PMID:12793775,pubmed,12793775,create date:2003/06/10 | first author:Schreuder BE
Babesiosis diagnosis and treatment.,/pubmed/12804380,Krause PJ.,Vector Borne Zoonotic Dis. 2003 Spring;3(1):45-51. Review.,Vector Borne Zoonotic Dis.  2003,PubMed,citation,PMID:12804380,pubmed,12804380,create date:2003/06/14 | first author:Krause PJ
Evolution and diversity of HIV-1 in Africa--a review.,/pubmed/12803467,"Papathanasopoulos MA, Hunt GM, Tiemessen CT.",Virus Genes. 2003;26(2):151-63. Review.,Virus Genes.  2003,PubMed,citation,PMID:12803467,pubmed,12803467,create date:2003/06/14 | first author:Papathanasopoulos MA
